"spec","treat","plainw","plainw_start","length","length_start","alive"
"Atr_bel",1,NA,13,NA,34,0
"Atr_bel",0,19,15,53,22,1
"Atr_bel",0,18,13.5,50,24.5,1
"Atr_bel",1,NA,18,NA,25,0
"Atr_bel",1,2,17.5,2,26,1
"Atr_bel",0,28,12,48,25,1
"Atr_bel",1,23,11.5,36,24.5,1
"Atr_bel",1,20,20.5,31,23,1
"Atr_bel",0,30,14.5,53,24.5,1
"Atr_bel",1,21,17.5,26,23,1
"Atr_bel",1,NA,6.5,NA,7,0
"Atr_bel",1,15,9.5,33,11,1
"Atr_bel",1,23,6,32,7,1
"Atr_bel",0,NA,7,NA,5.5,0
"Atr_bel",0,14,8.5,27,8,1
"Atr_bel",1,21,7,29,8,1
"Atr_bel",0,22,12,31,12,1
"Atr_bel",0,21,7.5,36,8.5,1
"Atr_bel",0,17,11,36,10,1
"Atr_bel",1,18,6.5,22,9,1
"Col_arb",1,15,20,37,46,1
"Col_arb",0,28,14,104,36,1
"Col_arb",1,NA,17,NA,39.5,0
"Col_arb",0,21,10.5,71,27.5,1
"Col_arb",0,21,11,68,15.5,1
"Col_arb",1,NA,15,NA,28,0
"Col_arb",1,NA,16.5,NA,24,0
"Col_arb",0,21,12,51,20,1
"Col_arb",1,NA,12,NA,18,0
"Col_arb",0,28,9,36,10.5,1
"Col_arb",1,2,8,1.5,9,1
"Cor_eme",0,60,22,130,62,1
"Cor_eme",1,NA,35,NA,50,0
"Cor_eme",1,18,25,24,46,1
"Cor_eme",0,8,17,38,49,1
"Cor_eme",1,NA,14,NA,56,0
"Cor_eme",1,2,36,2,62,1
"Cor_eme",1,41,34,28,55,1
"Cor_eme",0,92,29,130,62,1
"Cor_eme",1,7,19,8,64,1
"Cor_eme",0,61,21,132,54,1
"Cor_eme",1,NA,32,NA,43,0
"Cor_eme",0,55,23,124,9,1
"Cor_eme",0,50,29,112,46,1
"Cor_eme",0,40,16.5,111,41.5,1
"Cor_eme",1,NA,11,NA,42.5,0
"Cor_eme",0,31,15.5,138,43.5,1
"Cor_eme",0,45,14,120,36.5,1
"Cor_eme",0,75,13.5,125,37,1
"Cor_eme",0,45,21,106,42,1
"Cor_eme",1,21,17.5,21,43.5,1
"Cor_eme",1,NA,21,NA,41,0
"Cor_eme",1,3,17,4,40.5,1
"Cor_eme",1,43,14,32,41.5,1
"Cor_san",1,NA,11,NA,23,0
"Cor_san",0,11,26,31,35,1
"Cor_san",1,11,13,11,18.5,1
"Cor_san",0,8,14,35,26,1
"Cor_san",0,20,11,55,23.5,1
"Cor_san",0,NA,12.5,NA,20,0
"Cor_san",1,NA,12,NA,20,0
"Cor_san",0,11,11,29,17.5,1
"Cor_san",0,NA,10,NA,19,0
"Cor_san",0,11,11.5,49,21.5,1
"Cor_san",1,NA,10,NA,18,0
"Cor_san",1,NA,11,NA,13,0
"Cor_san",0,11,10,34,15,1
"Cor_san",0,16,6.5,32,7,1
"Cor_san",1,NA,4.5,NA,6,0
"Cor_san",0,14,5.5,24,4,1
"Cor_san",0,14,8,33,11,1
"Cor_san",0,14,7,24,11,1
"Cor_san",1,NA,7,NA,10,0
"Cor_san",0,5,4,10,4,1
"Cor_san",1,NA,5.5,NA,6,0
"Cor_san",1,NA,7.5,NA,10.5,0
"Cor_san",1,NA,8,NA,9,0
"Cor_san",0,10,10,31,12.5,1
"Cor_vag",1,NA,8,NA,11,0
"Cor_vag",0,35,14,26,14.5,1
"Cor_vag",1,NA,13,NA,10.5,0
"Cor_vag",1,NA,7,NA,6,0
