"spec","treat","plainw","plainw_start","length","length_start","nleaves","nleaves_start","alive"
"Ast_gly",1,23,19,20,21.5,12,11,1
"Ast_gly",0,40,18,35,21,41,13,1
"Ast_gly",1,48,19,38,20.5,46,12,1
"Ast_gly",0,30,19,34,23,31,12,1
"Ast_gly",1,25,19,19,17,18,14,1
"Ast_gly",0,58,21,38,15,47,11,1
"Ast_gly",1,11,23,15.5,17,15,17,1
"Ast_gly",0,40,17,40,20,49,12,1
"Ast_gly",1,51,17,39,19,59,13,1
"Ast_gly",1,25,15,22,18,12,7,1
"Ast_gly",0,43.5,17,36.5,11,48,13,1
"Ast_gly",0,39,12,34,10,36,8,1
"Atr_bel",1,13,10,10,8.5,21,10,1
"Atr_bel",0,13,9,34,9.5,15,9,1
"Atr_bel",1,NA,8,NA,7,NA,9,0
"Atr_bel",0,15,10,22,7,15,9,1
"Atr_bel",1,NA,10,NA,6.5,NA,7,0
"Atr_bel",1,NA,10,NA,6,NA,9,0
"Atr_bel",1,18,9,29.5,5,16,6,1
"Atr_bel",0,13.5,8,24.5,6,11,7,1
"Atr_bel",0,18,9,25,5,13,9,1
"Atr_bel",0,17.5,8,26,6,12,8,1
"Atr_bel",1,6,11,3.5,7,16,8,1
"Atr_bel",1,14,9,16.5,6.5,9,8,1
"Atr_bel",0,12,11,25,7,11,6,1
"Atr_bel",0,11.5,11,24.5,7.5,13,6,1
"Atr_bel",1,3.5,6,1.5,5,8,6,1
"Atr_bel",1,9.5,9,10,6,12,8,1
"Atr_bel",1,NA,8,NA,6,NA,9,0
"Atr_bel",0,20.5,6,23,5,11,7,1
"Atr_bel",0,14.5,8,24.5,5.5,12,8,1
"Atr_bel",0,17.5,8.5,23,6.5,12,7,1
"Col_arb",1,12.5,9.5,34,13,20,9,1
"Col_arb",0,20,10.5,46,15,31,10,1
"Col_arb",1,20,1.5,27,14,39,9,1
"Col_arb",0,14,9,36,15,27,9,1
"Col_arb",1,3,8,3,11,8,7,1
"Col_arb",1,1,6,1,9,1,8,1
"Col_arb",0,17,7,39.5,12,16,8,1
"Col_arb",0,10.5,5,27.5,10,15,7,1
"Col_arb",1,13,7,20.5,11,21,9,1
"Col_arb",1,NA,5,NA,7,NA,7,0
"Col_arb",0,11,5,15.5,8,12,6,1
"Col_arb",0,15,5,28,7.5,24,7,1
"Col_arb",1,NA,3,NA,6,NA,7,0
"Col_arb",1,NA,2.5,NA,4,NA,4,0
"Col_arb",0,16.5,3,24,7.5,25,8,1
"Col_arb",0,12,3.5,20,6,13,5,1
"Col_arb",0,12,3,18,6,15,9,1
"Col_arb",0,9,3,10.5,4.5,19,7,1
"Col_arb",0,8,3,9,3.5,14,11,1
"Col_arb",1,5.5,NA,7.5,NA,11,NA,1
"Col_arb",1,NA,NA,NA,NA,NA,NA,0
"Col_arb",1,18,NA,29,NA,18,NA,1
"Cor_eme",1,27,13,59,31,54,23,1
"Cor_eme",0,22,10,62,28.5,42,20,1
"Cor_eme",1,1,13,1.5,31,1,19,1
"Cor_eme",0,35,17,50,31,52,21,1
"Cor_eme",1,18,12,43,26,55,25,1
"Cor_eme",0,25,13,46,27,32,19,1
"Cor_eme",1,16,12,23,19,44,24,1
"Cor_eme",1,NA,11,NA,23,NA,16,0
"Cor_eme",1,NA,9,NA,22,NA,21,0
"Cor_eme",0,17,11,49,26,38,20,1
"Cor_eme",0,14,8,56,24,33,20,1
"Cor_eme",0,36,9,62,27,41,21,1
"Cor_eme",1,NA,12,NA,29.5,NA,15,0
"Cor_eme",1,9,11,20,28,25,21,1
"Cor_eme",0,34,12,55,29.5,29,15,1
"Cor_eme",0,29,10,62,30,28,11,1
"Cor_eme",1,22,10,46,27,36,21,1
"Cor_eme",1,26.5,11,40.5,27,45,27,1
"Cor_eme",0,19,8,64,30,20,16,1
"Cor_eme",0,21,10,54,28,48,20,1
"Cor_eme",0,32,11.5,43,26.5,41,24,1
"Cor_eme",0,23,12,NA,26,47,29,1
"Cor_eme",0,29,15,46,31,67,30,1
"Cor_eme",1,NA,NA,NA,NA,NA,NA,0
"Cor_eme",1,6,NA,8,NA,8,NA,1
"Cor_eme",1,23,NA,36,NA,29,NA,1
"Cor_san",1,15,12,NA,13,19,8,1
"Cor_san",0,11,10,23,11.5,30,8,1
"Cor_san",1,NA,11,NA,10,NA,8,0
"Cor_san",0,26,11,35,11.5,15,6,1
"Cor_san",1,16,9.5,24,9,18,8,1
"Cor_san",1,13.5,8.5,21.5,9,24,8,1
"Cor_san",0,13,9,18.5,8,21,6,1
"Cor_san",0,14,8,26,9.5,24,10,1
"Cor_san",1,11,10,22,9,26,6,1
"Cor_san",1,NA,8,NA,11,NA,6,0
"Cor_san",0,11,9,23.5,10,16,6,1
"Cor_san",0,12.5,8.5,20,9.5,10,6,1
"Cor_san",1,NA,8,NA,9,NA,6,0
