"Shortcut","Species","Woody"
"Ast_gly","Astragalus glycyphyllos",0
"Atr_bel","Atropa belladonna",0
"Col_arb","Colutea arborescens",1
"Cor_eme","Hippocrepis emerus",1
"Cor_san","Cornus sanguinea",1
"Cor_vag","Coronilla vaginalis",0
"Cyt_sco","Cytisus scoparius",1
"Lab_ana","Laburnum anagyroides",1
"Lon_xyl","Lonicera xylosteum",1
"Lot_cor","Lotus corniculatus",0
"Lup_pol","Lupinus polyphyllus",0
"Mal_syl","Malva sylvestris",0
"Par_off","Parietaria officinalis",0
"Pot_rec","Potentilla recta",0
"Rib_uva","Ribes uva-crispa",1
"Sax_gra","Saxifraga granulata",0
"Sec_var","Securigera varia",0
"Syr_vul","Syringa vulgaris",1
"Urt_dio","Urtica dioica",0
"Ver_off","Verbena officinalis",0
"Kna_arv","Knautia arvensis",0
"Cen_jac","Centaurea jacea",0
"Epi_ang","Epilobium angustifolium",0
"Fra_exc","Fraxinus excelsior",1
"Cel_occ","Celtis occidentalis",1
"Rob_pse","Robinia pseudoacacia",1
"Sar_sco","Cytisus scoparius",1
"Fra_orn","Fraxinus ornus",1
